question,context,answer
What is OPT?,OPT is a temporary employment that is directly related to an F-1 student’s major area of study.,OPT allows international students to work in their field of study for up to 12 months after graduation.
¿Qué es la visa F1?,La visa F1 permite estudiar tiempo completo en una institución académica acreditada en EE.UU.,Es una visa para estudiantes internacionales que desean estudiar en EE.UU. a tiempo completo.
What is a 'major' and a 'minor'?,"A 'major' is your primary field of study, while a 'minor' is a secondary, less-intensive field. Both will be listed on your academic transcript and diploma.","Your major is your main area of study, and a minor is a secondary subject you choose to study."
How can I transfer credits from my home country?,"Many universities allow you to transfer credits, but the process can be complex. You will need to provide official transcripts and detailed course descriptions for evaluation.",You need to submit official academic records from your previous institution for your new university to evaluate.
What's the difference between a college and a university?,"In the U.S., a 'college' can refer to a small undergraduate school, while a 'university' usually includes graduate programs and multiple colleges or schools within it.","Universities are typically larger institutions with both undergraduate and graduate programs, while colleges often focus on undergraduate education."
What should I do if I have a medical emergency?,"For a serious emergency, you should go to the nearest hospital's Emergency Room (ER). For non-urgent issues, you can visit a university health clinic. Your health insurance will cover part of the costs.","Go to the Emergency Room for serious issues. For minor problems, visit a campus clinic. Remember to use your health insurance."
How can I apply for a Social Security Number?,"You can apply for an SSN at a Social Security office. You will need to bring your passport, I-20 form, and proof of an on-campus job offer. You do not need an SSN to open a bank account.",You can apply at a Social Security office after securing an on-campus job. You'll need your passport and I-20.
What is a syllabus?,"A syllabus is a document professors give students at the beginning of a course. It outlines course content, grading policies, and a schedule of assignments and exams.","It's a document from your professor that lists course topics, grading rules, and important deadlines."
¿Cómo puedo encontrar alojamiento cerca del campus?,Muchas universidades tienen oficinas de vivienda que pueden ayudar. También puedes buscar en sitios web como Zillow o Apartments.com para encontrar opciones fuera del campus.,Puedes contactar la oficina de vivienda de tu universidad o usar plataformas en línea para buscar apartamentos cercanos.
¿Qué es el choque cultural y cómo lo enfrento?,"El choque cultural es la sensación de desorientación que se experimenta en un nuevo entorno. Mantente en contacto con tu familia, únete a grupos estudiantiles y habla con los asesores de estudiantes internacionales para superarlo.","Es normal sentirse desorientado. Habla con tu familia, haz nuevos amigos y participa en la vida universitaria para adaptarte mejor."
¿Puedo traer a mis familiares conmigo?,Los estudiantes con visa F-1 pueden solicitar visas F-2 para sus cónyuges e hijos solteros menores de 21 años. Debes demostrar que tienes fondos suficientes para mantener a toda la familia.,"Sí, tu cónyuge e hijos pueden solicitar una visa F-2. Debes mostrar que tienes los recursos económicos para mantenerlos."
¿Qué documentos debo llevar al viajar a EE.UU.?,"Debes llevar tu pasaporte vigente, el formulario I-20 original (firmado por ti y tu universidad), la visa F-1 en tu pasaporte y el recibo del pago de la tarifa SEVIS.","Asegúrate de llevar tu pasaporte, el I-20 original, tu visa F-1 y el recibo de la tarifa SEVIS."
¿Cómo puedo convalidar mis estudios de mi país de origen?,"Para convalidar estudios, debes enviar tus expedientes académicos y las descripciones de los cursos a la oficina del registrador de la universidad. Ellos evaluarán si puedes transferir créditos.",Envía tus documentos académicos oficiales a la universidad para que revisen qué créditos puedes transferir.
¿Cuál es la diferencia entre un 'community college' y una universidad?,"Un 'community college' ofrece programas de dos años, a menudo a menor costo, que puedes usar para transferirte a una universidad de cuatro años. Las universidades ofrecen títulos de pregrado y posgrado.","Los 'community colleges' ofrecen programas cortos de dos años, mientras que las universidades ofrecen carreras completas y posgrados."
What is a 'hold' on my student account?,"A 'hold' is a block placed on a student's account, preventing them from registering for classes, getting transcripts, or even graduating. This can happen for unpaid fees, missing forms, or other administrative issues.",It's a block on your account that can prevent you from registering for classes or getting documents until you resolve the underlying issue.
How do I find a job on campus?,"You can check your university's career services website or student employment portal. Positions are often available in the library, dining halls, or as research assistants for professors.",Check your university's career services or employment portal. Many jobs are available in departments like the library or dining services.
What are 'office hours'?,"Office hours are specific times each week when your professors are available to meet with students one-on-one to discuss course material, assignments, or ask for help. It's a great opportunity to connect with them.",These are specific times when professors are available to meet with students to answer questions about the course.
What is the difference between a 'dorm' and an apartment?,"A 'dorm' is a residence hall on campus, typically with shared rooms and communal bathrooms. An apartment is off-campus housing that offers more privacy and personal space, including a kitchen.","A dorm is on-campus housing with shared spaces, while an apartment is off-campus with more private amenities."
How do I use my university's health insurance?,You will get an insurance card with a policy number. You should show this card whenever you visit a doctor or hospital. The university's health services office can help you understand your coverage.,You need to present your health insurance card when you receive medical services. Check with the university's office for details on coverage.
What is the 'dean' of a college?,"A 'dean' is a senior administrator in a university, usually in charge of a specific college or school (e.g., the Dean of the College of Engineering). They are responsible for academic and administrative leadership.",The dean is an administrator who heads a specific school or college within the university.
¿Qué es la 'tarjeta de identificación de estudiante'?,"La tarjeta de identificación de estudiante, también conocida como 'student ID', es una tarjeta oficial que te identifica como estudiante de la universidad. Se usa para acceder a edificios, la biblioteca, el gimnasio y otros servicios.","Es tu carnet oficial de la universidad, que usas para acceder a los servicios del campus como la biblioteca o el gimnasio."
¿Cómo funcionan los 'créditos' académicos?,Los créditos son unidades que miden el peso académico de una clase. La mayoría de las clases son de 3 o 4 créditos. Necesitas acumular un número específico de créditos para poder graduarte.,Los créditos son unidades que representan el valor de cada clase. Debes completar un número determinado de ellos para obtener tu título.
¿Qué es un 'transcript' académico?,"Un 'transcript' es un registro oficial de todas tus calificaciones y clases tomadas en la universidad. Es un documento crucial para solicitar becas, transferir a otra escuela o aplicar a programas de posgrado.","Es tu expediente académico oficial, donde se listan todas las clases que has tomado y las notas que obtuviste."
¿Qué son los 'prerrequisitos' de una clase?,"Los prerrequisitos son clases o requisitos que debes cumplir antes de poder inscribirte en otra clase. Por ejemplo, para tomar 'Cálculo II', el prerrequisito podría ser haber aprobado 'Cálculo I'.","Son los requisitos que debes completar, como haber aprobado otra clase, antes de poder inscribirte en una clase específica."
¿Qué debo saber sobre la ley de 'alimentos y alcohol' en EE.UU.?,"En la mayoría de los estados, la edad legal para consumir alcohol es 21 años. Es ilegal comprar, poseer o consumir alcohol si eres menor de esa edad. Las leyes pueden ser muy estrictas y las consecuencias, severas.",La edad legal para consumir alcohol es 21 años. Las leyes son estrictas y es importante respetarlas para evitar problemas.
¿Cómo puedo pedir ayuda académica si me cuesta una clase?,La mayoría de las universidades ofrecen centros de tutoría gratuitos. También puedes asistir a las 'office hours' de tu profesor o formar grupos de estudio con otros compañeros.,"Puedes usar los centros de tutoría de la universidad, visitar a tu profesor en sus horas de oficina o estudiar con compañeros."
What is an application fee?,An application fee is a non-refundable payment to a university for processing your application. This fee is required to be considered for admission.,It's a fee you pay to a university so they will process and consider your admission application.
What are 'Proof of Funds' documents?,These are financial documents (like bank statements or scholarship letters) you submit to the university to prove you have enough money to cover your tuition and living expenses. This is a requirement for getting your I-20.,"They are financial documents, such as bank statements, that show you have the money to pay for your studies and living costs."
What happens after I receive my I-20?,"Once you get your I-20 form, you must pay the SEVIS fee, complete the DS-160 visa application, and schedule an interview at a U.S. embassy or consulate in your home country.","After receiving your I-20, you must pay the SEVIS fee and then apply for your F-1 visa."
How soon can I enter the U.S. before my program starts?,"According to U.S. immigration regulations, F-1 students can enter the United States no more than 30 days before the start date listed on their I-20 form.",You can enter the U.S. up to 30 days before the start date on your I-20.
What do I do upon arrival in the U.S.?,"When you arrive, you will go through customs and immigration, where an officer will review your documents. After you arrive at your university, you must complete an 'arrival check-in' with the international student office.","Upon arrival, you'll go through customs. Then, you need to check in with your university's international student office."
What is an 'arrival check-in' at the university?,"This is a mandatory process for all new international students. You must present your passport, I-20, and F-1 visa to the international student services office so they can register your arrival in the SEVIS system.",It's a mandatory meeting with the international student office to confirm your arrival and legally register you as an F-1 student.
¿Qué es la 'tarifa de solicitud' para la universidad?,"Es un pago no reembolsable que se hace a la universidad para que procese tu solicitud de admisión. Sin este pago, tu solicitud no será evaluada.",Es el costo que pagas para que tu solicitud de admisión sea considerada por la universidad.
¿Cómo demuestro que tengo fondos suficientes?,"La universidad te pedirá 'Prueba de Fondos', que son documentos financieros como estados de cuenta bancarios o cartas de beca. Deben cubrir el primer año de matrícula y gastos de vida.",Debes presentar documentos como estados de cuenta bancarios o cartas de becas para probar que puedes pagar tus estudios.
¿Qué es el formulario I-20 y por qué es importante?,El formulario I-20 es un documento oficial que tu universidad te emite. Lo necesitas para pagar la tarifa SEVIS y para solicitar tu visa F-1 en la embajada. Es tu prueba de admisión y elegibilidad.,Es el documento principal de tu universidad que necesitas para solicitar tu visa de estudiante F-1.
¿Cuánto tiempo antes de la clase puedo llegar a EE.UU.?,"Según las regulaciones de inmigración de EE.UU., los estudiantes con visa F-1 solo pueden ingresar al país hasta 30 días antes de la fecha de inicio de clases que aparece en su formulario I-20.",Puedes llegar a EE.UU. un máximo de 30 días antes de que comience tu programa de estudios.
¿Qué debo hacer cuando llegue a la universidad?,"Después de llegar a tu universidad, es obligatorio que te registres en la oficina de servicios para estudiantes internacionales. Este proceso se llama 'arrival check-in' y es crucial para mantener tu estatus legal.","Debes registrar tu llegada en la oficina de estudiantes internacionales de tu universidad, lo que se conoce como 'arrival check-in'."
¿Cómo es el proceso de 'check-in' para estudiantes internacionales?,"Consiste en presentarte en la oficina de estudiantes internacionales con tu pasaporte, visa F-1 y el I-20. La oficina verificará tus documentos y registrará tu llegada en el sistema SEVIS.","Es un registro obligatorio donde presentas tu pasaporte, I-20 y visa en la oficina de estudiantes internacionales para confirmar tu llegada."
What is the application process like?,"The application process involves selecting a university, paying the non-refundable application fee, and submitting all required documents like transcripts and test scores. Some universities also require an essay or letters of recommendation.",You apply to a university by paying an application fee and submitting your academic records and other documents.
How do I show proof of funds?,"You must provide financial documents, such as a bank statement from you or a sponsor, that show you have enough money to cover your first year of tuition and living expenses. This is a crucial step to receive your I-20 form.",You need to submit bank statements or scholarship letters to prove you have the money to cover your expenses.
What is the I-20 form for?,The I-20 form is issued by the university and is required to pay the SEVIS fee and apply for your F-1 student visa. It confirms your acceptance and legal eligibility for a student visa.,It's the official document from your university that you need to apply for your F-1 visa.
How do I get my F-1 student visa?,"After receiving your I-20, you must pay the SEVIS fee, complete the DS-160 visa application online, and attend a visa interview at a U.S. embassy or consulate in your home country. Your I-20 and proof of funds are required for the interview.","You must pay the SEVIS fee, fill out the DS-160 form, and then go to a visa interview with all your documents."
How soon can I arrive in the U.S.?,F-1 visa regulations state that you can enter the United States a maximum of 30 days before the start date of your program listed on your I-20 form. Arriving earlier is not permitted.,You can arrive a maximum of 30 days before the start date on your I-20 form.
What should I do when I arrive at the university?,"Upon arrival, you must complete a mandatory 'check-in' with the international student services office. They will verify your documents (passport, visa, I-20) and register your arrival in the SEVIS system, which is required to maintain your legal status.",You must check in with the university’s international student office to register your arrival and validate your legal status.
